id,mssv, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2, tinhtrang, diachi_tinhtp,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56
26,ADD6626AXPvAibaEXe/SxwNRab2vgDj3JMKIXWrE,1995,1, Kiên Giang, KHMT0001, KHMT, CQUI,8, D480101,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4AFE5A8EXPvAibaEXe9MLbI3cCq2BMqcbjt1Z6h0,1995,1, Lâm ??ng, ANTT2013, MMT&TT, CQUI,8, D480299,3, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,809877DCXPvAibaEXe8/3iNqySORb/0vLoIti8Og,1994,1, TP. H? Chí Minh, PMCL2013, CNPM, CLC,8, D480103,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C4B57B74XPvAibaEXe+wmtNhlfgIwrNTVgutCknX,1995,1, H?i D??ng, MMTT0001, MMT&TT, CQUI,8, D480102,8, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,F0D55309XPvAibaEXe9JdUmjPcaT8jvBqJAmS4kY,1995,1, Lâm ??ng, KHMT2013, KHMT, CQUI,8, D480101,5, Huy?n Di Linh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,C47110EFXPvAibaEXe/PGAaNNWvbUF95KJJbQ6Bs,1995,1, Kiên Giang, ANTT2013, MMT&TT, CQUI,8, D480299,3, T?nh Kiên Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,074D8586XPvAibaEXe8s1xx8DWM0qvMydWkQI9z8,1995,1, Trà Vinh, MMTT0001, MMT&TT, CQUI,8, D480299,3, T?nh Trà Vinh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FE92B059XPvAibaEXe9E+KuE/nFliSKxEUGPiMAY,1995,0, TP. H? Chí Minh, KTPM0001, CNPM, CQUI,8, D480103,3, Huy?n ??c Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,C57530A4XPvAibaEXe8hvnm4ihleLVTcBUD7ztLV,1995,0, TP. H? Chí Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3E479342XPvAibaEXe+kwIr/VXjl01D1BeeuKZAN,1995,1, Nam ??nh, KTPM0001, CNPM, CQUI,8, D480103,5, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,601E0986XPvAibaEXe+y4Ivhjp8SxpmSs9JVmGUu,1995,1, TP. H? Chí Minh, KTMT0001, KTMT, CQUI,8, D520214,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,E210AA8EXPvAibaEXe/asAVnWDRS7eUZUTEqhAQl,1995,1, TP. H? Chí Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5, Thành ph? H?i Phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5B67FF77XPvAibaEXe/SxwNRab2vgHQoiSebh7by,1995,1, Qu?ng Nam, KTMT0001, KTMT, CQUI,8, D520214,3, T?nh Qu?ng Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,A71E7B7EXPvAibaEXe+gsTDvgY5pDvugtLkA9WY2,1995,1, H?i D??ng, MMTT0001, MMT&TT, CQUI,8, D480299,8, Huy?n Kinh Môn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9CB66503XPvAibaEXe9E+KuE/nFliVHlSAEdjpcv,1995,1, Bình Thu?n, CNTT0001, KTTT, CQUI,8, D480201,3, T?nh Bình Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A406E7FDXPvAibaEXe/XBbLEWRhgQYQrAzwms21C,1995,1, TP. H? Chí Minh, KTMT0001, KTMT, CQUI,8, D520214,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6E67EB19XPvAibaEXe/X/wixypGyAsT5QiAaYiqu,1995,1, Trà Vinh, MMTT0001, MMT&TT, CQUI,8, D480102,3, T?nh Trà Vinh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,62200A76XPvAibaEXe9/su+qLcYDMsQRQ0KM5NHU,1995,1, Qu?ng Bình, KHMT2013, KHMT, CQUI,8, D480101,3, T?nh Qu?ng Bình,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0CBE4487XPvAibaEXe+fmxcqgvribAaiAPDGKOrx,1995,1, TP. H? Chí Minh, CTTT2013, HTTT, CTTT,8, D480104,5, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2441A7C2XPvAibaEXe8VekUw4ELehn5inKXOCKf2,1995,1, Qu?ng Ngãi, KTPM0001, CNPM, CLC,8, D480103,3, T?nh Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey,1995,1, Lâm ??ng, HTTT2013, HTTT, CQUI,8, D480104,3, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,52E66659XPvAibaEXe/7sxkigC7f5zukR2WlNRO3,1995,1, Qu?ng Ngãi, KTMT0001, KTMT, CQUI,8, D520214,8, T?nh Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,516D213CXPvAibaEXe9JdUmjPcaT8sQIfWYBArTw,1995,1, Qu?ng Ngãi, HTTT2013, HTTT, CQUI,8, D480104,5, Tình Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,41EBF544XPvAibaEXe8/3iNqySORb+za0yWMmptx,1995,1, Lâm ??ng, MMTT0001, MMT&TT, CQUI,8, D480299,5, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,6EB4408FXPvAibaEXe+cD1fKElqxL06nWB8JXnUx,1995,1, Lâm ??ng, HTTT2013, HTTT, CQUI,8, D480104,5, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,B5953D10XPvAibaEXe+BHZkA9XgGXWnkm2L+acxT,1995,1, Qu?ng Ngãi, KHMT2013, KHMT, CQUI,8, D480101,3, Tình Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,BAA21E56XPvAibaEXe9Xnw4t0GPgx5ergjwY9IdE,1994,1, TP. H? Chí Minh, MMTT0001, MMT&TT, CQUI,8, D480102,5, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,B3078280XPvAibaEXe9KDsVv3cRkMR3THeDfuZST,1995,1, Qu?ng Ngãi, MMTT2013, MMT&TT, CQUI,8, D480102,5, T?nh Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,1995,1, B?n Tre, HTTT2013, HTTT, CQUI,8, D480104,3, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,AA971F36XPvAibaEXe+fmxcqgvribA5vxtc+V0/y,1995,1, TP. H? Chí Minh, KTMT2013, KTMT, CQUI,8, D520214,5, Thành ph? Tây Ninh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CD84523EXPvAibaEXe+LLvbxzunmJA9YRcwSMo7A,1995,1, TP. H? Chí Minh, PMCL2013, CNPM, CLC,8, D480103,5, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CD52678BXPvAibaEXe97hU2RTHdNnHA5E5DKdC+D,1995,1, ??ng Tháp, KTPM2013, CNPM, CQUI,8, D480103,3, Thành ph? Sa ?éc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,55D02CB4XPvAibaEXe9M021iVaAwIAQL8BalJRN4,1995,0, Ti?n Giang, MMTT2013, MMT&TT, CQUI,8, D480102,3, T?nh Ti?n Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,FF648425XPvAibaEXe97hU2RTHdNnAuHAKPICPTO,1995,1, Lâm ??ng, KTPM0001, CNPM, CQUI,8, D480103,5, Huy?n Di Linh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,C2100719XPvAibaEXe/BqA0y8R3TRcJ/JtkxsBzj,1995,1, Ninh Thu?n, KHMT0001, KHMT, CQUI,8, D480101,3, T?nh Ninh Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,E99E9EA2XPvAibaEXe+LLvbxzunmJFOIkyW9ng8u,1995,1, Qu?ng Ngãi, ANTN2013, MMT&TT, KSTN,8, D480299,3, T?nh Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3734,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,1994,1, Bình ??nh, CTTT2013, HTTT, CTTT,8, D480104,5, T?nh Gia Lai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8255,7E308531XPvAibaEXe879+AOg1gh8i58Q/VMq7RU,1995,1, Ti?n Giang, KHMT2013, KHMT, CQUI,8, D480101,5, T?nh Ti?n Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8256,0FCB6532XPvAibaEXe879+AOg1gh8o0EEQcYQ8HR,1995,1, TP. H? Chí Minh, KTPM2013, CNPM, CQUI,8, D480103,5, T?nh V?nh Phúc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8257,BAF446BFXPvAibaEXe879+AOg1gh8uQrEauqA0AG,1995,1, Lâm ??ng, MMTT2013, MMT&TT, CQUI,8, D480102,3, T?nh Lâm ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8258,599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V,1995,1, An Giang, KTPM0001, CNPM, CQUI,8, D480103,5, T?nh An Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8259,364B9E9BXPvAibaEXe879+AOg1gh8sRVdBmZSiXe,1995,0, Bà R?a - V?ng Tàu, MMTT0001, MMT&TT, CQUI,8, D480102,3, Thành ph? Bà R?a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8260,BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR,1995,1, TP. H? Chí Minh, KHTN2013, KHMT, CNTN,8, D480101,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,1995,1, TP. H? Chí Minh, KTPM0001, CNPM, CLC,8, D480103,3, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8262,FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3,1995,1, Th?a Thiên Hu?, ANTN2013, MMT&TT, KSTN,8, D480299,3, T?nh Th?a Thiên Hu?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8263,9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF,1994,1, Kiên Giang, HTTT0001, HTTT, CQUI,8, D480104,8, Huy?n Kiên L??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8264,140E6C4CXPvAibaEXe/asAVnWDRS7Te/6FHN3JZ9,1995,1, Kon Tum, KTMT0001, KTMT, CQUI,8, D520214,8, T?nh Kon Tum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8265,A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH,1995,1, V?nh Long, KTMT2013, KTMT, CQUI,8, D520214,3, T?nh V?nh Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8267,F9AD085CXPvAibaEXe/asAVnWDRS7ejs/e1rGnUq,1995,1, Tây Ninh, KTMT0001, KTMT, CQUI,8, D520214,3, T?nh Tây Ninh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8268,B1460568XPvAibaEXe/asAVnWDRS7f+aMPJ9kBjL,1995,0, Ninh Thu?n, KHMT0001, KHMT, CQUI,8, D480101,8, T?nh Ninh Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8269,32CA7383XPvAibaEXe/asAVnWDRS7W3J9+TvE5ZI,1995,1, Hà N?i, HTTT2013, HTTT, CQUI,8, D480104,5, Thành ph? Biên Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8270,85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP,1995,1, TP. H? Chí Minh, PMCL2013, CNPM, CLC,8, D480103,3, Huy?n Bình Chánh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,E68386BCXPvAibaEXe/asAVnWDRS7bT1MwA0tQQ/,1995,1, ??ng Nai, KTMT2013, KTMT, CQUI,8, D520214,5, Tình ??ng Nai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8272,786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,1995,1, Kiên Giang, KHMT2013, KHMT, CQUI,8, D480101,3, Huy?n An Biên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8273,F585674DXPvAibaEXe93PEySAJOVk6T3mUZtHkOx,1995,1, C?n Th?, KTPM2013, CNPM, CQUI,8, D480103,3, Thành ph? C?n Th?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8274,9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,1995,0, ??ng Nai, TM?T2013, HTTT, CQUI,8, D52480104,3, Thành ph? Biên Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8275,246BFB8AXPvAibaEXe93PEySAJOVk7f1TlF/mfrO,1994,1, Thành ph? H? Chí Minh, CNTT0001, KTTT, CQUI,8, D480201,8, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8276,9593C5A1XPvAibaEXe93PEySAJOVkwyGf+OwqHPe,1995,1, Bình Thu?n, HTTT2013, HTTT, CQUI,8, D480104,3, T?nh Bình Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8277,B652E11DXPvAibaEXe93PEySAJOVkyJM7AttkNBy,1995,0, Lâm ??ng, MMTT0001, MMT&TT, CQUI,8, D480102,3, Huy?n ??c Tr?ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279,D563BE5EXPvAibaEXe93PEySAJOVk29BEIkXUhF+,1995,0, Bình Thu?n, KTPM2013, CNPM, CQUI,8, D480103,3, T?nh Bình Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8280,98247E19XPvAibaEXe93PEySAJOVkxsz+HIviyYJ,1995,1, C?n Th?, HTTT0001, HTTT, CQUI,8, D52480104,5, Thành ph? C?n Th?, Tp. C?n Th?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8281,94D07C75XPvAibaEXe93PEySAJOVk2ldmZ8HMbbn,1995,1, TP. H? Chí Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8282,33472657XPvAibaEXe8ge2UHv4J4BwEOqNnp7N/7,1995,0, TP. H? Chí Minh, KTMT2013, KTMT, CQUI,8, D520214,5, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8283,04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN,1995,1, Khánh Hoà, KHTN2013, KHMT, CNTN,8, D480101,3, T?nh Khánh Hoà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8285,4CD37F46XPvAibaEXe8ge2UHv4J4Byyo6uzLKM42,1995,1, Thanh Hoá, KTMT0001, KTMT, CQUI,8, D520214,3, T?nh Bình D??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8286,C1A9FD65XPvAibaEXe8ge2UHv4J4BztlfCscqMWw,1995,1, Ngh? An, CNTT0001, KTTT, CQUI,8, D480201,8, T?nh Ngh? An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8287,5236793DXPvAibaEXe8ge2UHv4J4B3cK3m4MI0jB,1995,1, Qu?ng Ngãi, HTTT0001, HTTT, CQUI,8, D480104,3, T?nh Qu?ng Ngãi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8288,7CAAEE6BXPvAibaEXe8ge2UHv4J4B+kFXfDUb6ad,1995,1, Bình ??nh, KTPM0001, CNPM, CQUI,8, D480103,3, T?nh Bình ??nh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8289,97CE096EXPvAibaEXe8ge2UHv4J4B99T3E9bmk5q,1993,1, Thành ph? H? Chí Minh, KHMT0001, KHMT, CQUI,8, D480101,8, Thành ph? H? Chí Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
